UGS,CATEGORIE,SOUS CATEGORIE,PRODUIT,PRIX,ID,POSITION
07186T0201,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",FORK 50 SX/TC 20,770,1,1
0025080306S,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",HH COLLAR SCREW M8X30     TX40,"2,55",5,2
0032100256S,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",AH-COLLAR SCREW  M10X25 ISA45,"3,85",6,3
45201032022,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",BOT. TRIPLE CLAMP CPL.,"144,9",31,4
45201034022,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",TOP TRIPLE CLAMP,"113,4",34,5
50301038000,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",BRIDE DE SERRAGE GUIDON D=22M1,"13,4",38,6
45201039000,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",HANDLEBAR SUPPORT 50SX D=22MM,"28,35",39,7
59030029000,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",ECROU VILO PAS A DROITE 400/52,"9,3",42,8
49001086000,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",COUVERCLE,"2,4",43,9
0770021300,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",JOINT O,"0,95",44,10
49001081000,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",ROULEMENT CONIQUE,"12,3",45,11
46001086000,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",SCHUTZRING STEUERK. 20,"4,9",46,12
0770360030,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",JOINT TORIQUE,"0,95",47,13
59001092050,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",VIS PLASTIQUE DE FOURCHE 2000,"0,9",91,14
46301094000DBB,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",FORK PROTECTION KIT TC 50/65,"29,4",92,15
46301085000AB,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",CLAMP BRAKE HOSE,"4,95",94,16
0017060206,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",SCREW F. PLASTIC K60X20AL  SW6,"1,15",95,17
00050000931,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",STEARING HEAD REP. KIT MINI,"29,3",98,18
00050000925,TC 50 2020,"FRONT FORK, TRIPLE CLAMP ",HANDLEBAR SUPPORT KIT 50SX '12,"55,25",99,19
